ID,Artist,Track,Album,Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Channel,Views,Likes,Comments,official_video,Stream
15693,Lasso,Odio Que No Te Odio,Odio Que No Te Odio,single,0.677,0.502,1,-7.098,0.025,0.484,0.000,0.099,0.526,96.579,220480,LassoVEVO,37492690,485211,4409,TRUE,68232929
15694,Lasso,Hasta Ese Día,Cuatro Estaciones,album,0.439,0.648,10,-3.106,0.033,0.531,0.000,0.176,0.679,190.020,203693,LassoVEVO,17420360,360807,13759,TRUE,27636673
15695,Lasso,Julia,Julia,single,0.794,0.581,4,-6.718,0.049,0.064,0.000,0.077,0.462,111.970,181948,LagosMusica,6707516,47366,1134,TRUE,13677854
15696,Lasso,"De mí, de mí, de mí",Cuatro Estaciones,album,0.370,0.553,0,-4.896,0.039,0.137,0.000,0.078,0.474,179.968,217187,LassoVEVO,5884398,104137,5180,TRUE,11692973
15697,Lasso,Subtítulos,Cuatro Estaciones,album,0.779,0.791,10,-3.816,0.127,0.717,0.000,0.092,0.770,97.965,192067,LassoVEVO,39019017,404429,7487,TRUE,75457611
15698,Gzuz,YumYum,YumYum,single,0.833,0.650,1,-5.613,0.210,0.228,0.000,0.178,0.389,140.038,131949,CrhymeTV,1959993,73701,2421,TRUE,5110721
15699,Gzuz,Taxi,Palmen aus Plastik 3,album,0.853,0.727,10,-7.712,0.191,0.548,0.000,0.188,0.417,108.035,172580,CrhymeTV,5464124,105994,5011,TRUE,27350728
15700,Gzuz,Kokain,Palmen aus Plastik 2,album,0.615,0.677,5,-7.906,0.363,0.231,0.000,0.543,0.608,170.117,209232,khalil belkacemi,276452,3324,80,FALSE,130773196
15701,Gzuz,Späti,Grosse Freiheit,album,0.813,0.659,1,-6.093,0.186,0.311,0.004,0.165,0.482,140.064,152771,CrhymeTV,19380043,232596,6363,TRUE,67325295
15702,Gzuz,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,album,0.825,0.761,1,-6.591,0.189,0.139,0.000,0.157,0.875,88.994,195187,SoulForce Records,67309337,611871,23307,TRUE,132871349
15703,Gzuz,Gostoso,Paradoks,album,0.708,0.758,2,-7.390,0.316,0.209,0.000,0.240,0.613,142.148,157613,PERROS BLANCOS,15462902,168174,13976,FALSE,26982776
15704,Gzuz,CL500,Ebbe & Flut,album,0.517,0.658,1,-7.219,0.379,0.283,0.000,0.098,0.491,132.098,151600,CrhymeTV,47241351,321338,12448,TRUE,62694414
